TargetID,GI_21729887-A,GI_23312375-A,GI_4585642-S,GI_5453687-S
A,False,False,True,False
A,True,True,False,True
A,False,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,True,True
A,True,True,False,True
A,True,True,False,True
A,False,False,False,False
A,True,True,True,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,False,False,False,False
A,True,True,False,True
A,True,False,False,True
A,True,True,False,True
A,False,False,False,False
A,False,True,False,True
A,True,True,False,True
A,True,True,True,False
A,False,True,True,False
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,False,False,True
A,True,True,True,True
A,True,True,False,True
A,True,True,False,True
A,False,True,False,True
A,True,True,False,True
A,True,True,True,True
A,True,True,False,True
A,True,False,True,False
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,True,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,False,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,False,True,True,False
A,False,False,True,False
A,True,True,True,False
A,False,True,False,False
A,False,False,True,False
A,True,False,True,False
A,False,True,False,True
A,True,True,False,False
A,True,True,True,True
A,True,True,True,False
A,True,True,False,True
A,True,True,False,False
A,True,True,False,True
A,True,False,True,False
A,True,True,False,True
A,True,True,False,True
A,True,False,True,False
A,True,True,False,True
A,True,True,False,True
A,True,True,True,True
A,True,True,False,True
A,True,False,False,False
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,True,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,False,False,False,False
A,True,False,True,False
A,False,False,False,False
A,True,False,True,False
A,True,False,True,True
A,True,False,True,True
A,True,True,False,True
A,False,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,False,False,True,False
A,False,False,False,False
A,True,False,True,False
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,True,False
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,True,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,True,True,False,True
A,False,False,True,False
A,False,False,True,False
A,True,True,False,True
A,True,True,True,True
A,False,False,False,False
A,True,True,False,False
A,True,True,False,True
