TargetID,GI_16507207-S,GI_21729887-A,GI_23312375-A,GI_24308166-S,GI_34335274-A,GI_37547175-S,GI_44917603-S,GI_4585642-S
A,True,False,False,False,True,True,True,True
A,False,True,True,True,False,False,False,False
A,False,False,True,True,False,False,False,False
A,False,False,True,True,False,False,False,False
A,True,False,True,True,False,False,True,False
A,False,False,True,True,True,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,False,True,True,False,True,False,True
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,True,False,False
A,True,False,False,False,True,False,False,False
A,True,True,True,True,True,False,True,True
A,False,True,True,True,False,False,False,False
A,False,False,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,True,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,False,False,False,False,False,False,False
A,False,False,True,True,False,False,False,False
A,True,False,False,False,False,False,False,False
A,False,True,True,False,False,False,False,False
A,False,False,False,False,False,True,False,False
A,False,False,True,False,False,False,False,False
A,False,True,True,True,False,True,False,False
A,False,False,True,True,True,False,False,True
A,True,False,True,True,True,True,True,True
A,True,False,True,True,False,True,True,False
A,True,True,True,True,False,True,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,True,False,False
A,False,False,True,True,False,False,True,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,False,True,False,False,False,False
A,True,True,True,True,True,True,False,True
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,False,True,False,False,False,True,False
A,True,False,True,True,True,False,True,False
A,True,True,True,True,True,True,True,True
A,False,True,True,True,False,False,False,False
A,True,False,False,True,True,True,False,True
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,True,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,True,True,True,True,True,True,False,True
A,True,True,True,False,True,False,False,False
A,False,False,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,False,False,False,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,True,False,True,False,True,True,False,True
A,True,False,False,False,True,False,True,True
A,True,True,True,False,True,True,True,True
A,True,False,True,False,True,False,False,False
A,False,False,False,False,True,True,False,True
A,True,False,False,False,True,True,False,True
A,False,False,True,False,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,True,True,True
A,True,True,True,True,True,True,True,True
A,False,False,True,True,True,False,False,False
A,False,True,True,True,False,False,True,False
A,False,True,True,True,False,False,False,False
A,True,False,False,False,True,True,True,True
A,True,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,True,True,False,False,True,False,False,True
A,False,True,True,True,False,False,False,False
A,False,True,True,True,True,False,True,False
A,False,True,True,True,True,True,True,True
A,False,True,True,True,True,False,True,False
A,False,True,False,False,True,False,False,False
A,False,True,True,True,True,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,True,True,True,True
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,True,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,True,False,False,True,True,True,False,False
A,True,False,False,False,True,True,True,True
A,True,False,False,False,True,True,False,False
A,False,True,False,False,True,True,True,True
A,False,True,False,False,True,True,True,True
A,False,True,False,True,False,True,False,True
A,False,True,True,True,False,False,False,False
A,False,False,True,False,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,True,False,False
A,False,True,True,True,False,False,False,False
A,True,True,True,True,True,True,False,False
A,False,True,True,True,True,False,False,False
A,True,False,False,False,True,True,True,True
A,True,False,False,False,True,False,False,False
A,True,False,False,False,True,True,True,True
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,True,True,True,True,True,True,True,True
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,True,True,True,True,False,True,True,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,True,False,True
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,True,True,True,True,False,True,False,False
A,False,True,True,True,False,False,False,False
A,True,False,False,False,True,True,True,True
A,False,False,False,False,True,True,False,True
A,False,False,True,True,True,False,False,False
A,True,True,True,True,True,True,False,True
A,True,False,False,False,True,False,False,False
A,False,False,True,True,True,True,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,False,False,False,False,False
A,False,True,False,False,False,False,False,False
A,False,True,False,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,True
A,False,True,True,True,False,False,False,True
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,True,False,False,False,True,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,False,False,False,True,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
A,False,True,True,True,False,False,False,False
C,False,True,True,False,False,False,False,False
C,False,False,False,False,False,True,False,False
C,False,True,False,False,True,True,False,False
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,False,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,False
C,True,False,False,True,True,False,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,True,False,False,False,True,True,True,True
C,False,False,False,False,True,False,True,True
